serenity	https://github.com/bjarneo/omarchy-serenity-theme
shadesofjade	https://github.com/HANCORE-linux/omarchy-shadesofjade-theme
snow	https://github.com/bjarneo/omarchy-snow-theme
solarized	https://github.com/Gazler/omarchy-solarized-theme
solarized-light	https://github.com/dfrico/omarchy-solarized-light-theme
solarizedosaka	https://github.com/motorsss/omarchy-solarizedosaka-theme
space-monkey	https://github.com/TyRichards/omarchy-space-monkey-theme
spectra	https://github.com/abhijeet-swami/omarchy-spectra-theme
stellarum	(local)
stills-in-motion-omarchy	https://github.com/mattbbia/stills-in-motion-omarchy
sunset-drive	https://github.com/tahayvr/omarchy-sunset-drive-theme
synthwave84	https://github.com/omacom-io/omarchy-synthwave84-theme
thegreek	https://github.com/HANCORE-linux/omarchy-thegreek-theme
tycho	https://github.com/leonardobetti/omarchy-tycho
velocity	https://github.com/perfektnacht/omarchy-velocity-theme
velvetnight	https://github.com/HANCORE-linux/omarchy-velvetnight-theme
venice-from-above-omarchy	https://github.com/mattbbia/venice-from-above-omarchy
vesper	https://github.com/thmoee/omarchy-vesper-theme
vhs80	https://github.com/tahayvr/omarchy-vhs80-theme
void	https://github.com/vyrx-dev/omarchy-void-theme.git
wasteland	https://github.com/perfektnacht/omarchy-wasteland-theme
waveform-dark	https://github.com/hipsterusername/omarchy-waveform-dark-theme
whitegold	https://github.com/HANCORE-linux/omarchy-whitegold-theme
wood	https://github.com/bjarneo/omarchy-wood-theme
